Pincode,Latitude,Longitude,State,District,Matched_District,Population,Literate,Nightlight_Mean_Radiance,Total_Deposits_Recent,TRAI_Tele_Density_2026,Final_Prosperity_Index
534320,16.867822222222223,81.44043333333333,Andhra Pradesh,West Godavari,west godavari,3936966.0,2652389.0,1.1603529753785558,18801.2286,102.27,25.751420864655966
141016,30.8047,75.8361,Punjab,Ludhiana,ludhiana,3498739.0,2560225.0,4.011601776873062,121539.327,117.97,28.171188566220312
781350,26.42191111111111,91.4254111111111,Assam,Barpeta,barpeta,1693622.0,897058.0,0.7941541431392982,5188.643,82.17,9.48113930288116
110052,28.7688,77.0869,Delhi,North West Delhi,north west,3656539.0,2707855.0,21.467478948808367,,366.12,39.08621835762799
841222,25.818166666666663,85.03936666666667,Bihar,Saran,saran,3951862.0,2157454.0,,20431.1439,63.79,22.512363844288526
533106,17.4131,82.239,Andhra Pradesh,East Godavari,east godavari,5154296.0,3288577.0,1.1624925419294097,20613.8016,102.27,32.59112453632792
141008,30.8047,75.8361,Punjab,Ludhiana,ludhiana,3498739.0,2560225.0,4.011601776873062,121539.327,117.97,28.171188566220312
110017,28.5189,77.2131,Delhi,South Delhi,south,2731929.0,2078402.0,25.9597276290529,,366.12,34.67206483218704
110017,28.5189,77.2131,Delhi,South Delhi,south,2731929.0,2078402.0,0.7543055585041138,,366.12,26.732947889337723
274401,26.817731818181816,83.9565590909091,Uttar Pradesh,Kushinagar,kushinagar,3564544.0,1954820.0,1.9461526265499849,,71.86,20.688120608902917
852112,25.94668421052632,86.97587894736841,Bihar,Madhepura,madhepura,2001762.0,834577.0,1.5001850202971814,5407.2046,63.79,9.868613369797995
764076,19.4454,82.327,Odisha,Nabarangapur,nabarangapur,1220946.0,470379.0,0.6393633837916519,,84.21,6.369014918730935
141003,30.8047,75.8361,Punjab,Ludhiana,ludhiana,3498739.0,2560225.0,4.011601776873062,121539.327,117.97,28.171188566220312
508101,16.876,79.2009,Telangana,Nalgonda,nalgonda,3488809.0,2001019.0,1.340585312942724,10002.5078,102.27,21.141933971040455
636104,11.673736363636364,78.43674545454546,Tamil Nadu,Salem,salem,3482056.0,2285562.0,2.051362263655462,38314.4025,107.98,23.613329798374817
