Model_Description,Model_Variant,Product_Code,Make_Code,Typical_Price,n,Engine_CC
APACHE 200 4V 1CH - R MODE BSVI,RTR 200CC,MC,APACHE,171200.0,5,200
APACHE 200 4V 2CH - R MODE BSVI,RTR 200CC,MC,APACHE,182200.0,143,200
APACHE RR 310 BSVI,APACHE RR 310,MC,APACHE,325400.0,27,312
APACHE RTR 160 2V BSVI DISC,160 DISC,MC,APACHE,148000.0,95,160
APACHE RTR 160 2V BSVI DRUM,160 DRUM,MC,APACHE,144400.0,45,160
APACHE RTR 160 2V RM DISC BSVI,160 DISC,MC,APACHE,151900.0,8867,160
APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,MC,APACHE,155700.0,3846,160
APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,MC,APACHE,147800.0,3254,160
APACHE RTR 160 4V BSVI DISC,160 DISC,MC,APACHE,155900.0,17,160
APACHE RTR 160 4V BSVI DRUM,160 DRUM,MC,APACHE,146400.0,2,160
APACHE RTR 160 4V DISC BT BSVI,160 DISC,MC,APACHE,161800.0,241,160
APACHE RTR 165 RP BSVI,165 CC,MC,APACHE,180000.0,1,165
APACHE RTR 180 BSVI,APACHE 180 CC,MC,APACHE,162800.0,5,180
APACHE RTR 180 RM BSVI,APACHE 180 CC,MC,APACHE,162200.0,351,180
APACHE RTR 200 4V BSVI 1CH ABS,RTR 200CC,MC,APACHE,153800.0,1,200
APACHE RTR 200 4V BSVI 2CH ABS,RTR 200CC,MC,APACHE,178400.0,50,200
APACHE RTR 310 BSVI BASE BLK,APACHE RTR 310,MC,APACHE,306600.0,13,312
APACHE RTR 310 BSVI BASE BLK- U400,APACHE RTR 310,MC,APACHE,295400.0,4,312
APACHE RTR 310 BSVI BASE YEL,APACHE RTR 310,MC,APACHE,319900.0,14,312
IQUBE EV,EBIKE,EB,TVS,149600.0,42,0
JUPITER 125 BSVI - DISC,125 CC DISC,SC,JUPITER,118300.0,4850,125
JUPITER 125 BSVI DISC SXC U566,125 CC DISC,SC,JUPITER,125800.0,3334,125
JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,SC,JUPITER,113000.0,1593,125
JUPITER 125 DRUM BSVI - SMW,125 CC DRUM,SC,JUPITER,109900.0,50,125
JUPITER BSVI - AOL,110 CC,SC,JUPITER,101600.0,4234,110
JUPITER BSVI - SMW,110 CC,SC,JUPITER,97100.0,1699,110
JUPITER BSVI BASIC,110 CC,SC,JUPITER,103000.0,52,110
JUPITER CLASSIC BSVI,110 CC,SC,JUPITER,109000.0,23,110
JUPITER ZX BSVI - AOL - DRUM,110 CC,SC,JUPITER,108000.0,2579,110
JUPITER ZX BSVI â€“ ZX DRUM,110 CC,SC,JUPITER,108300.0,103,110
JUPITER ZX DISC - BSVI - ISS,110 CC,SC,JUPITER,108800.0,62,110
JUPITER ZX DISC - SXC BSVI,110 CC,SC,JUPITER,114200.0,1175,110
JUPITER ZX DISC BSVI,110 CC,SC,JUPITER,112400.0,21,110
JUPITER ZX DRUM SXC BSVI,110 CC,SC,JUPITER,110000.0,592,110
NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,SC,NTORQ,124000.0,3844,125
NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,SC,NTORQ,121000.0,4370,125
NTORQ 125 XT BSVI,125 CC,SC,NTORQ,133300.0,1514,125
SCOOTY PEP PLUS BSVI,SCOOTY PEP PLUS,SC,SCOOTY,88400.0,2,88
SCOOTY PEP PLUS MATTE SERIES - BSVI,SCOOTY PEP PLUS,SC,SCOOTY,86800.0,7,88
SCOOTY ZEST - BSVI,SCOOTY,SC,ZEST,91200.0,642,88
SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,SC,ZEST,95600.0,2975,88
STARCITY PLUS ES BSVI â€“ MONO TONE,STAR CITY PLUS,MC,CITY PLUS,94200.0,41,110
STARCITY PLUS ES DISC BSVI,STAR CITY PLUS,MC,CITY PLUS,98200.0,113,110
STARCITY PLUS ES DT BSVI â€“ DUAL TONE,STAR CITY PLUS,MC,CITY PLUS,95400.0,514,110
TVS APACHE RTR 160 2V RM OBDIIA DRUM BE BSVI,160 DRUM,MC,APACHE,142500.0,3,160
TVS APACHE RTR 160 4V - RM DISC BSVI,160 DISC,MC,APACHE,157600.0,363,160
TVS APACHE RTR 160 4V - RM DRUM BSVI,160 DRUM,MC,APACHE,153200.0,69,160
TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,MC,APACHE,163200.0,2270,160
TVS APACHE RTR 160 4V BSVI - U626,160 DISC,MC,APACHE,170000.0,651,160
TVS APACHE RTR 160 4V RM OBDIIA DRUM BE BSVI,160 DRUM,MC,APACHE,161300.0,1,160
TVS IQUBE 09,EBIKE,EB,TVS,117800.0,14,0
TVS IQUBE L43,EBIKE,EB,TVS,148300.0,66,0
TVS IQUBE S,EBIKE,EB,TVS,165000.0,1268,0
TVS IQUBE S C45,EBIKE,EB,TVS,159900.0,30,0
TVS IQUBE ST 2P,EBIKE,EB,TVS,175100.0,2,0
TVS IQUBE UG,EBIKE,EB,TVS,149000.0,2028,0
TVS JUPITER CLASSIC DISC BSVI,110 CC,SC,JUPITER,116400.0,670,110
TVS NTORQ 125 DISC BSVI,125 CC,SC,NTORQ,119600.0,98,125
TVS NTORQ 125 RACE XP BSVI,125 CC,SC,NTORQ,123300.0,2313,125
TVS RADEON 110 DUAL TONE BSVI,RADEON,MC,RADEON,91000.0,67,110
TVS RADEON 110 ES MAG BSVI,RADEON,MC,RADEON,90000.0,3080,110
TVS RADEON 110 ES MAG REF BSVI,RADEON,MC,RADEON,94200.0,449,110
TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,MC,RADEON,105300.0,614,110
TVS RADEON BSVI DIGI DRUM DUAL TONE,RADEON,MC,RADEON,98500.0,781,110
TVS RADEON BSVI DIGI DRUM ISG,RADEON,MC,RADEON,98000.0,75,110
TVS RADEON BSVI DISC DUAL TONE,RADEON,MC,RADEON,97200.0,54,110
TVS RADEON DISC BSVI,RADEON,MC,RADEON,95000.0,31,110
TVS RAIDER DISC BSVI,RAIDER,MC,RAIDER,116500.0,12173,125
TVS RAIDER DISC CONNECTED BSVI,RAIDER,MC,RAIDER,127000.0,1888,125
TVS RAIDER DISC SS BSVI,RAIDER,MC,RAIDER,116000.0,1600,125
TVS RAIDER DISC SSE BSVI,RAIDER,MC,RAIDER,121800.0,3097,125
TVS RAIDER DRUM BSVI,RAIDER,MC,RAIDER,116500.0,1,125
TVS RONIN 1CH BASE BSVI,RONIN,MC,RONIN,183200.0,198,225
TVS RONIN 1CH BASE PLUS BSVI,RONIN,MC,RONIN,189000.0,60,225
TVS RONIN 2CH MID BSVI,RONIN,MC,RONIN,206100.0,108,225
TVS RONIN 2CH MID NG REFRESH BSVI,RONIN,MC,RONIN,210700.0,81,225
TVS RONIN 2CH MID SPL BSVI,RONIN,MC,RONIN,208400.0,165,225
TVS SPORT DURALIFE KS SWL BSVI,SPORT,MC,SPORT,79500.0,1,110
TVS SPORT ELS BSVI,SPORT,MC,SPORT,80700.0,1106,110
TVS SPORT ES BSVI - U559,SPORT,MC,SPORT,75500.0,4961,110
TVS SPORT KLS BSVI,SPORT,MC,SPORT,76600.0,42,110
TVS XL 100 COM ITS BSVI,XL 100CC,MO,MOPEDS,77000.0,1028,100
TVS XL 100 COM KS BSVI,XL 100CC,MO,MOPEDS,62800.0,60,100
TVS XL 100 HD ITS BSVI,XL 100CC,MO,MOPEDS,74700.0,8692,100
TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,MO,MOPEDS,82500.0,3491,100
TVS XL 100 HD ITS SPL EDITION BSVI,XL 100CC,MO,MOPEDS,84500.0,142,100
TVS XL 100 HD KS BSVI,XL 100CC,MO,MOPEDS,54400.0,3051,100
